Category,States/UT's,Districts,No. of CSCs,Female,Male,General,OBC,SC,ST,Total,Cases per CSC
Advice Enabled,Telangana,Kumuram Bheem Asifabad,335,405,939,308,456,531,49,1344,
Advice Enabled,Telangana,Mahabubabad,461,435,879,258,434,538,84,1314,
Advice Enabled,Telangana,Mahbubnagar,441,1336,4667,2008,2056,1636,303,6003,
Advice Enabled,Telangana,Mancherial,310,88,84,34,60,65,13,172,
Advice Enabled,Telangana,Medak,469,7432,33126,5628,32881,1751,298,40558,
Advice Enabled,Telangana,MedchalMalkajgiri,61,204,316,218,175,92,35,520,
Advice Enabled,Telangana,Mulugu,174,330,397,26,455,137,109,727,
Advice Enabled,Telangana,Nagarkurnool,461,506,987,592,513,301,87,1493,
Advice Enabled,Telangana,Nalgonda,844,1278,4112,597,1982,1710,1101,5390,
Advice Enabled,Telangana,Narayanpet,280,358,855,300,728,151,34,1213,
Advice Enabled,Telangana,Nirmal,396,687,1833,275,733,954,558,2520,
Advice Enabled,Telangana,Nizamabad,530,2462,4214,1462,3003,1860,351,6676,
Advice Enabled,Telangana,Peddapalli,266,1120,1236,1075,1186,77,18,2356,
Advice Enabled,Telangana,Rajanna Sircilla,255,324,984,124,818,338,28,1308,
Advice Enabled,Telangana,Rangareddi,558,1193,1795,1746,566,512,164,2988,
Advice Enabled,Telangana,Sangareddy,580,2187,3038,1408,1443,2027,347,5225,
Advice Enabled,Telangana,Siddipet,499,325,714,324,403,295,17,1039,
Advice Enabled,Telangana,Suryapet,475,950,1887,627,1532,558,120,2837,
Advice Enabled,Telangana,Vikarabad,566,1491,2782,1944,1655,554,120,4273,
Advice Enabled,Telangana,Wanaparthy,255,480,468,465,321,121,41,948,
Advice Enabled,Telangana,Warangal Rural,323,4259,11251,2464,7656,4136,1254,15510,
Advice Enabled,Telangana,YadadriBhuvanagiri,421,994,2384,522,309,2440,107,3378,
Advice Enabled,Tripura,Dhalai,150,12191,17523,1451,7028,15072,6163,29714,
Advice Enabled,Tripura,Gomati,173,9852,3009,1429,6824,2537,2071,12861,
Advice Enabled,Tripura,Khowai,124,6585,6572,2640,4260,3924,2333,13157,
Advice Enabled,Tripura,North Tripura,129,3337,5403,1914,2403,1907,2516,8740,
Advice Enabled,Tripura,Sepahijala,169,2847,4350,2587,1713,1744,1153,7197,
Advice Enabled,Tripura,South Tripura,166,1354,3730,1935,1347,1178,624,5084,
Advice Enabled,Tripura,Unakoti,91,1126,3102,2489,831,483,425,4228,
Advice Enabled,Tripura,West Tripura,176,4510,7864,2691,2700,2238,4745,12374,
Advice Enabled,Uttar Pradesh,Agra,672,18168,20689,11887,9295,15908,1767,38857,
Advice Enabled,Uttar Pradesh,Aligarh,700,12382,11013,4339,5937,9445,3674,23395,
Advice Enabled,Uttar Pradesh,Allahabad,1092,6430,7496,3817,4449,4759,901,13926,
Advice Enabled,Uttar Pradesh,Ambedkar Nagar,800,17477,13307,6612,7237,15314,1621,30784,
Advice Enabled,Uttar Pradesh,Amethi,682,12622,11774,3962,4652,13560,2222,24396,
Advice Enabled,Uttar Pradesh,Auraiya,477,2725,1808,1634,1334,1325,240,4533,
Advice Enabled,Uttar Pradesh,Ayodhya,832,20378,23034,3429,9723,29409,851,43412,
Advice Enabled,Uttar Pradesh,Azamgarh,800,2680,3216,557,2294,2555,490,5896,
Advice Enabled,Uttar Pradesh,Baghpat,245,1192,2034,910,1154,855,307,3226,
Advice Enabled,Uttar Pradesh,Bahraich,800,87354,108970,21077,136814,30682,7751,196324,
Advice Enabled,Uttar Pradesh,Ballia,800,60113,25939,12415,43556,26057,4024,86052,
Advice Enabled,Uttar Pradesh,Balrampur,700,4605,18997,5450,8594,7784,1774,23602,
Advice Enabled,Uttar Pradesh,Banda,470,1242,4545,634,1599,3222,332,5787,
Advice Enabled,Uttar Pradesh,Barabanki,895,13356,17915,2265,5362,22441,1203,31271,
Advice Enabled,Uttar Pradesh,Bareilly,850,12553,37635,4802,34556,10124,706,50188,
Advice Enabled,Uttar Pradesh,Basti,986,5323,11042,5943,3191,5911,1320,16365,
Advice Enabled,Uttar Pradesh,Bhimnagar (Sambhal),670,1878,3951,1078,1634,2616,501,5829,
Advice Enabled,Uttar Pradesh,Bijnor,1000,2371,5550,1887,2961,2717,356,7921,
Advice Enabled,Uttar Pradesh,Budaun,900,2531,6583,1760,3735,2987,632,9114,
Advice Enabled,Uttar Pradesh,Bulandshahr,800,12642,11220,3587,7166,10292,2817,23862,
Advice Enabled,Uttar Pradesh,Chandauli,734,7853,16282,3503,9581,9879,1172,24135,
Advice Enabled,Uttar Pradesh,Chitrakoot,335,6891,27074,4869,9084,15845,4167,33965,
Advice Enabled,Uttar Pradesh,Deoria,900,8816,17004,3619,5513,14409,2279,25820,
Advice Enabled,Uttar Pradesh,Etah,576,3170,5961,1041,5661,1978,451,9131,
Advice Enabled,Uttar Pradesh,Etawah,470,962,1414,176,469,1403,328,2376,
Advice Enabled,Uttar Pradesh,Farrukhabad,598,3285,6966,1074,6305,2319,553,10251,
Advice Enabled,Uttar Pradesh,Fatehpur,800,3522,6252,1773,3419,4153,429,9774,
Advice Enabled,Uttar Pradesh,Firozabad,569,4484,9631,1621,5943,6163,388,14115,
Advice Enabled,Uttar Pradesh,Gautam Buddha Nagar,96,901,2365,1366,783,1058,59,3266,
Advice Enabled,Uttar Pradesh,Ghaziabad,160,1986,2394,1213,2052,1076,39,4380,
Advice Enabled,Uttar Pradesh,Ghazipur,800,4408,6569,1254,5393,3906,424,10977,
Advice Enabled,Uttar Pradesh,Gonda,950,7047,11753,7228,5155,5796,621,18800,
Advice Enabled,Uttar Pradesh,Gorakhpur,800,3108,8319,1527,4821,4650,429,11427,
Advice Enabled,Uttar Pradesh,Hamirpur,337,827,1784,418,872,1239,82,2611,
Advice Enabled,Uttar Pradesh,Hapur,273,1114,1160,541,723,846,164,2274,
Advice Enabled,Uttar Pradesh,Hardoi,800,26080,51433,18826,35506,21471,1710,77513,
Advice Enabled,Uttar Pradesh,Hathras,474,5111,8391,1023,9981,2154,344,13502,
Advice Enabled,Uttar Pradesh,Jalaun,575,2735,2687,753,2664,1824,181,5422,
Advice Enabled,Uttar Pradesh,Jaunpur,800,4811,8013,1753,5276,5281,514,12824,
Advice Enabled,Uttar Pradesh,Jhansi,496,15594,34310,2915,18660,27193,1136,49904,
Advice Enabled,Uttar Pradesh,JyotibaPhoole Nagar (Amroha),600,9693,8380,2663,7224,7362,824,18073,
Advice Enabled,Uttar Pradesh,Kannauj,504,1262,3723,474,2544,1863,104,4985,
Advice Enabled,Uttar Pradesh,Kanpur Dehat,639,16414,15469,7267,15938,7855,823,31883,
Advice Enabled,Uttar Pradesh,Kanpur Nagar,590,4012,4802,1137,3338,4210,129,8814,
Advice Enabled,Uttar Pradesh,Kasganj,423,2909,3394,540,4434,978,351,6303,
Advice Enabled,Uttar Pradesh,Kaushambi,477,1705,2149,551,1131,1929,243,3854,
Advice Enabled,Uttar Pradesh,Kheri,800,67798,44497,36843,24894,47310,3248,112295,
Advice Enabled,Uttar Pradesh,Kushi Nagar,750,10003,5246,2154,2226,8868,2001,15249,
Advice Enabled,Uttar Pradesh,Lalitpur,416,1561,1854,579,998,1629,209,3415,
Advice Enabled,Uttar Pradesh,Lucknow,570,5723,5464,1060,1633,8242,252,11187,
Advice Enabled,Uttar Pradesh,Maharajganj,800,8956,9634,1316,10823,6035,416,18590,
Advice Enabled,Uttar Pradesh,Mahoba,273,1504,6878,1136,2410,4803,33,8382,
Advice Enabled,Uttar Pradesh,Mainpuri,560,2221,2298,435,1583,2126,375,4519,
Advice Enabled,Uttar Pradesh,Mathura,514,2339,3850,1571,1657,2546,415,6189,
Advice Enabled,Uttar Pradesh,Mau,674,5778,6626,2215,6511,3205,473,12404,
Advice Enabled,Uttar Pradesh,Meerut,479,2167,4518,1722,2829,1493,641,6685,
Advice Enabled,Uttar Pradesh,Mirzapur,800,2685,3905,711,2635,2647,597,6590,
Advice Enabled,Uttar Pradesh,Moradabad,650,15344,11258,2395,7096,15025,2086,26602,
Advice Enabled,Uttar Pradesh,Muzaffarnagar,498,2956,3231,1348,1698,2818,323,6187,
Advice Enabled,Uttar Pradesh,Pilibhit,721,3013,6963,2583,3699,3495,199,9976,
Advice Enabled,Uttar Pradesh,Pratapgarh,900,7221,11174,3406,6219,7837,933,18395,
Advice Enabled,Uttar Pradesh,Rae Bareli,900,13512,11806,6035,6476,11208,1599,25318,
Advice Enabled,Uttar Pradesh,Rampur,684,3498,8144,2286,6100,2614,642,11642,
Advice Enabled,Uttar Pradesh,Saharanpur,800,37493,43365,13091,19078,39533,9156,80858,
Advice Enabled,Uttar Pradesh,Sant Kabeer Nagar,789,4070,5408,2186,4016,2778,498,9478,
Advice Enabled,Uttar Pradesh,Sant Ravidas Nagar(Bhadohi),562,5308,5020,2697,2909,4246,476,10328,
Advice Enabled,Uttar Pradesh,Shahjahanpur,800,14984,39421,13038,25230,13375,2762,54405,
Advice Enabled,Uttar Pradesh,Shamli,230,12545,14789,3014,15745,5918,2657,27334,
Advice Enabled,Uttar Pradesh,Shravasti,397,16626,13599,15129,5606,8177,1313,30225,
Advice Enabled,Uttar Pradesh,Siddharth Nagar,900,12473,27768,13948,8260,15613,2420,40241,
Advice Enabled,Uttar Pradesh,Sitapur,800,24953,73833,12146,33626,50614,2400,98786,
Advice Enabled,Uttar Pradesh,Sonbhadra,637,12847,36116,5030,23842,16361,3730,48963,
Advice Enabled,Uttar Pradesh,Sultanpur,847,5365,6720,2741,3936,4863,545,12085,
Advice Enabled,Uttar Pradesh,Unnao,805,4000,7625,2907,3973,3944,801,11625,
Advice Enabled,Uttar Pradesh,Varanasi,735,33169,15426,2121,15205,24455,6814,48595,
Advice Enabled,Uttarakhand,Almora,1165,6941,17689,6668,8875,6625,2462,24630,
Advice Enabled,Uttarakhand,Bageshwar,412,3541,5165,1401,3519,2970,816,8706,
Advice Enabled,Uttarakhand,Chamoli,618,3761,3886,1984,1679,3335,649,7647,
Advice Enabled,Uttarakhand,Champawat,311,3518,2326,1461,1743,2275,365,5844,
Advice Enabled,Uttarakhand,Dehradun,453,4628,4669,1914,3277,3689,417,9297,
Advice Enabled,Uttarakhand,Haridwar,331,20815,45806,5030,13791,46732,1068,66621,
Advice Enabled,Uttarakhand,Nainital,505,3389,3254,3975,1513,1101,54,6643,
Advice Enabled,Uttarakhand,Pauri Garhwal,1203,2152,4423,2252,673,3009,641,6575,
Advice Enabled,Uttarakhand,Pithoragarh,689,1388,3564,1306,2105,1217,324,4952,
Advice Enabled,Uttarakhand,Rudra Prayag,336,847,870,622,410,594,91,1717,
Advice Enabled,Uttarakhand,Tehri Garhwal,1037,926,1400,617,610,706,393,2326,
Advice Enabled,Uttarakhand,Udham Singh Nagar,385,12484,31667,18409,12089,12074,1579,44151,
Advice Enabled,Uttarakhand,Uttarkashi,508,6298,10219,1590,4495,8837,1595,16517,
Advice Enabled,West Bengal,Alipurduar,66,852,324,306,651,196,23,1176,
Advice Enabled,West Bengal,Bankura,190,11075,9073,8887,3817,6924,520,20148,
Advice Enabled,West Bengal,Birbhum,167,11873,18404,8972,7906,12128,1271,30277,
Advice Enabled,West Bengal,Coochbehar,128,7378,26761,11881,2556,19457,245,34139,
Advice Enabled,West Bengal,Darjeeling,92,783,223,101,160,721,24,1006,
Advice Enabled,West Bengal,Dinajpur Dakshin,64,5032,9069,5299,1280,5626,1896,14101,
Advice Enabled,West Bengal,Dinajpur Uttar,98,522,1102,844,292,443,45,1624,
Advice Enabled,West Bengal,East Medinipur,223,3102,4041,4477,627,1888,151,7143,
Advice Enabled,West Bengal,Hooghly,207,1729,2389,2544,459,1021,94,4118,
Advice Enabled,West Bengal,Howrah,157,213,228,246,60,135,0,441,
Advice Enabled,West Bengal,Jalpaiguri,80,399,424,136,120,554,13,823,
Advice Enabled,West Bengal,Jhargram,79,123,773,203,42,377,274,896,
Advice Enabled,West Bengal,Kalimpong,42,14,12,8,6,9,3,26,
Advice Enabled,West Bengal,Kolkata,68,16,61,43,33,1,0,77,
Advice Enabled,West Bengal,Maldah,146,10507,17943,16995,5567,5057,831,28450,
Advice Enabled,West Bengal,Murshidabad,240,18510,23971,22941,13063,6078,399,42481,
Advice Enabled,West Bengal,Nadia,165,11359,12625,16765,3255,3762,202,23984,
Advice Enabled,West Bengal,North 24 Paraganas,179,1424,1703,636,251,2059,181,3127,
Advice Enabled,West Bengal,Paschim Bardhaman,62,28,75,61,28,11,3,103,
Advice Enabled,West Bengal,PurbaBardhaman,215,643,1303,1117,249,483,97,1946,
Advice Enabled,West Bengal,Purulia,170,10154,11648,3625,10253,6567,1357,21802,
Advice Enabled,West Bengal,South 24 Paraganas,292,3259,7435,5703,1653,3154,184,10694,
Advice Enabled,West Bengal,West Medinipur,211,2152,3919,1384,719,1714,2254,6071,
Total Advice Enabled,Total (36 States/UT's),Tota (785 Districts),250000,3963499,6183286,2352749,3213067,3214657,1366312,10146785,
